task_id,family,difficulty,payload,partials,combine,gold,split,version
dev-0000-ari,arithmetic_pipeline,1,"{'terms': [7, 15, 10, 6, 15], 'instruction': 'sum all signed terms'}","[7, 15, 10, 6, 15]",sum,53,dev,1.0
dev-0001-sha,shard_aggregation,1,"{'shard_counts': [73, 93, 45, 90, 55], 'instruction': 'aggregate all shard counts'}","[73, 93, 45, 90, 55]",sum,356,dev,1.0
dev-0002-evi,evidence_synthesis,1,"{'evidence_vectors': [[4, 2], [1, 1], [4, 3], [4, 1], [5, 2]], 'labels': ['support', 'against']}","[[4, 2], [1, 1], [4, 3], [4, 1], [5, 2]]",vector_sum,"[18, 9]",dev,1.0
dev-0003-con,constraint_decision,1,"{'constraint_masks': [4, 32, 1, 8, 4], 'instruction': 'return the union bitmask'}","[4, 32, 1, 8, 4]",bitwise_or,45,dev,1.0
dev-0004-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 4, 'processed': 0, 'flagged': 0}, {'queued': 4, 'processed': 1, 'flagged': 0}, {'queued': 2, 'processed': 1, 'flagged': 2}, {'queued': 1, 'processed': 2, 'flagged': 3}, {'queued': 4, 'processed': 0, 'flagged': 2}], 'instruction': 'apply all state deltas'}","[{'queued': 4, 'processed': 0, 'flagged': 0}, {'queued': 4, 'processed': 1, 'flagged': 0}, {'queued': 2, 'processed': 1, 'flagged': 2}, {'queued': 1, 'processed': 2, 'flagged': 3}, {'queued': 4, 'processed': 0, 'flagged': 2}]",dict_sum,"{'flagged': 7, 'processed': 4, 'queued': 15}",dev,1.0
dev-0005-ari,arithmetic_pipeline,2,"{'terms': [16, -16, 6, 14, -12, -17], 'instruction': 'sum all signed terms'}","[16, -16, 6, 14, -12, -17]",sum,-9,dev,1.0
dev-0006-sha,shard_aggregation,2,"{'shard_counts': [78, 46, 85, 62, 56, 13], 'instruction': 'aggregate all shard counts'}","[78, 46, 85, 62, 56, 13]",sum,340,dev,1.0
dev-0007-evi,evidence_synthesis,2,"{'evidence_vectors': [[4, 3], [5, 2], [5, 1], [5, 5], [4, 5], [5, 5]], 'labels': ['support', 'against']}","[[4, 3], [5, 2], [5, 1], [5, 5], [4, 5], [5, 5]]",vector_sum,"[28, 21]",dev,1.0
dev-0008-con,constraint_decision,2,"{'constraint_masks': [32, 1, 16, 8, 64, 4], 'instruction': 'return the union bitmask'}","[32, 1, 16, 8, 64, 4]",bitwise_or,125,dev,1.0
dev-0009-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 4, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 1, 'flagged': 1}, {'queued': 2, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 3, 'flagged': 1}, {'queued': 3, 'processed': 3, 'flagged': 1}, {'queued': 4, 'processed': 1, 'flagged': 3}], 'instruction': 'apply all state deltas'}","[{'queued': 4, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 1, 'flagged': 1}, {'queued': 2, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 3, 'flagged': 1}, {'queued': 3, 'processed': 3, 'flagged': 1}, {'queued': 4, 'processed': 1, 'flagged': 3}]",dict_sum,"{'flagged': 10, 'processed': 15, 'queued': 19}",dev,1.0
dev-0010-ari,arithmetic_pipeline,3,"{'terms': [0, 27, 10, 1, -12, 11, -15], 'instruction': 'sum all signed terms'}","[0, 27, 10, 1, -12, 11, -15]",sum,22,dev,1.0
dev-0011-sha,shard_aggregation,3,"{'shard_counts': [30, 41, 24, 18, 62, 99, 63], 'instruction': 'aggregate all shard counts'}","[30, 41, 24, 18, 62, 99, 63]",sum,337,dev,1.0
dev-0012-evi,evidence_synthesis,3,"{'evidence_vectors': [[4, 5], [4, 3], [4, 5], [4, 2], [1, 1], [1, 2], [5, 1]], 'labels': ['support', 'against']}","[[4, 5], [4, 3], [4, 5], [4, 2], [1, 1], [1, 2], [5, 1]]",vector_sum,"[23, 19]",dev,1.0
dev-0013-con,constraint_decision,3,"{'constraint_masks': [1, 64, 1, 16, 64, 64, 1], 'instruction': 'return the union bitmask'}","[1, 64, 1, 16, 64, 64, 1]",bitwise_or,81,dev,1.0
dev-0014-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 2, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 2, 'flagged': 0}, {'queued': 2, 'processed': 3, 'flagged': 1}, {'queued': 1, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 0, 'flagged': 1}, {'queued': 3, 'processed': 4, 'flagged': 3}, {'queued': 4, 'processed': 3, 'flagged': 3}], 'instruction': 'apply all state deltas'}","[{'queued': 2, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 2, 'flagged': 0}, {'queued': 2, 'processed': 3, 'flagged': 1}, {'queued': 1, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 0, 'flagged': 1}, {'queued': 3, 'processed': 4, 'flagged': 3}, {'queued': 4, 'processed': 3, 'flagged': 3}]",dict_sum,"{'flagged': 16, 'processed': 18, 'queued': 16}",dev,1.0
dev-0015-ari,arithmetic_pipeline,1,"{'terms': [25, -1, -8, 20, -1], 'instruction': 'sum all signed terms'}","[25, -1, -8, 20, -1]",sum,35,dev,1.0
dev-0016-sha,shard_aggregation,1,"{'shard_counts': [42, 6, 89, 29, 44], 'instruction': 'aggregate all shard counts'}","[42, 6, 89, 29, 44]",sum,210,dev,1.0
dev-0017-evi,evidence_synthesis,1,"{'evidence_vectors': [[5, 1], [5, 5], [0, 3], [0, 4], [5, 1]], 'labels': ['support', 'against']}","[[5, 1], [5, 5], [0, 3], [0, 4], [5, 1]]",vector_sum,"[15, 14]",dev,1.0
dev-0018-con,constraint_decision,1,"{'constraint_masks': [1, 4, 16, 64, 16], 'instruction': 'return the union bitmask'}","[1, 4, 16, 64, 16]",bitwise_or,85,dev,1.0
dev-0019-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 3, 'processed': 2, 'flagged': 4}, {'queued': 0, 'processed': 2, 'flagged': 0}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 2, 'flagged': 0}, {'queued': 2, 'processed': 1, 'flagged': 3}], 'instruction': 'apply all state deltas'}","[{'queued': 3, 'processed': 2, 'flagged': 4}, {'queued': 0, 'processed': 2, 'flagged': 0}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 2, 'flagged': 0}, {'queued': 2, 'processed': 1, 'flagged': 3}]",dict_sum,"{'flagged': 8, 'processed': 7, 'queued': 6}",dev,1.0
dev-0020-ari,arithmetic_pipeline,2,"{'terms': [-17, 29, -3, 8, 25, 18], 'instruction': 'sum all signed terms'}","[-17, 29, -3, 8, 25, 18]",sum,60,dev,1.0
dev-0021-sha,shard_aggregation,2,"{'shard_counts': [76, 29, 75, 6, 42, 60], 'instruction': 'aggregate all shard counts'}","[76, 29, 75, 6, 42, 60]",sum,288,dev,1.0
dev-0022-evi,evidence_synthesis,2,"{'evidence_vectors': [[1, 5], [4, 4], [1, 0], [3, 3], [5, 1], [5, 4]], 'labels': ['support', 'against']}","[[1, 5], [4, 4], [1, 0], [3, 3], [5, 1], [5, 4]]",vector_sum,"[19, 17]",dev,1.0
dev-0023-con,constraint_decision,2,"{'constraint_masks': [64, 1, 4, 4, 32, 64], 'instruction': 'return the union bitmask'}","[64, 1, 4, 4, 32, 64]",bitwise_or,101,dev,1.0
dev-0024-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 0, 'processed': 3, 'flagged': 4}, {'queued': 0, 'processed': 2, 'flagged': 2}, {'queued': 1, 'processed': 4, 'flagged': 1}, {'queued': 2, 'processed': 4, 'flagged': 0}, {'queued': 0, 'processed': 2, 'flagged': 2}, {'queued': 4, 'processed': 3, 'flagged': 0}], 'instruction': 'apply all state deltas'}","[{'queued': 0, 'processed': 3, 'flagged': 4}, {'queued': 0, 'processed': 2, 'flagged': 2}, {'queued': 1, 'processed': 4, 'flagged': 1}, {'queued': 2, 'processed': 4, 'flagged': 0}, {'queued': 0, 'processed': 2, 'flagged': 2}, {'queued': 4, 'processed': 3, 'flagged': 0}]",dict_sum,"{'flagged': 9, 'processed': 18, 'queued': 7}",dev,1.0
dev-0025-ari,arithmetic_pipeline,3,"{'terms': [16, -14, -14, 14, -1, -9, 14], 'instruction': 'sum all signed terms'}","[16, -14, -14, 14, -1, -9, 14]",sum,6,dev,1.0
dev-0026-sha,shard_aggregation,3,"{'shard_counts': [100, 72, 83, 14, 38, 79, 67], 'instruction': 'aggregate all shard counts'}","[100, 72, 83, 14, 38, 79, 67]",sum,453,dev,1.0
dev-0027-evi,evidence_synthesis,3,"{'evidence_vectors': [[2, 3], [2, 1], [3, 5], [2, 3], [1, 3], [5, 0], [5, 2]], 'labels': ['support', 'against']}","[[2, 3], [2, 1], [3, 5], [2, 3], [1, 3], [5, 0], [5, 2]]",vector_sum,"[20, 17]",dev,1.0
dev-0028-con,constraint_decision,3,"{'constraint_masks': [128, 4, 32, 64, 64, 2, 64], 'instruction': 'return the union bitmask'}","[128, 4, 32, 64, 64, 2, 64]",bitwise_or,230,dev,1.0
