experiment,episode_id,task_id,topology,fault_type,fault_severity,fault_position,observability,origin_node,predicted_origin,candidate_count,rank,top1_correct,reciprocal_rank
E3_attribution_observability,E2::evaluation-0084-sta::referential_drift::sev2::early::1::hierarchical,evaluation-0084-sta,hierarchical,referential_drift,2,early,output_only,worker-0,root,7,3,0,0.3333333333333333
E3_attribution_observability,E2::evaluation-0084-sta::referential_drift::sev2::early::1::hierarchical,evaluation-0084-sta,hierarchical,referential_drift,2,early,sparse_trace,worker-0,worker-0,7,1,1,1.0
E3_attribution_observability,E2::evaluation-0084-sta::referential_drift::sev2::early::1::hierarchical,evaluation-0084-sta,hierarchical,referential_drift,2,early,full_trace,worker-0,worker-0,7,1,1,1.0
E3_attribution_observability,E2::evaluation-0077-evi::truncation::sev2::early::1::sequential,evaluation-0077-evi,sequential,truncation,2,early,output_only,step-0,step-3,4,2,0,0.5
E3_attribution_observability,E2::evaluation-0077-evi::truncation::sev2::early::1::sequential,evaluation-0077-evi,sequential,truncation,2,early,sparse_trace,step-0,step-0,4,1,1,1.0
E3_attribution_observability,E2::evaluation-0077-evi::truncation::sev2::early::1::sequential,evaluation-0077-evi,sequential,truncation,2,early,full_trace,step-0,step-0,4,1,1,1.0
E3_attribution_observability,E2::evaluation-0097-evi::wrong_value::sev2::middle::0::sequential,evaluation-0097-evi,sequential,wrong_value,2,middle,output_only,step-2,step-3,4,3,0,0.3333333333333333
E3_attribution_observability,E2::evaluation-0097-evi::wrong_value::sev2::middle::0::sequential,evaluation-0097-evi,sequential,wrong_value,2,middle,sparse_trace,step-2,step-2,4,1,1,1.0
E3_attribution_observability,E2::evaluation-0097-evi::wrong_value::sev2::middle::0::sequential,evaluation-0097-evi,sequential,wrong_value,2,middle,full_trace,step-2,step-2,4,1,1,1.0
E3_attribution_observability,E2::evaluation-0102-evi::truncation::sev1::late::0::single,evaluation-0102-evi,single,truncation,1,late,output_only,step-3,step-3,4,1,1,1.0
E3_attribution_observability,E2::evaluation-0102-evi::truncation::sev1::late::0::single,evaluation-0102-evi,single,truncation,1,late,sparse_trace,step-3,step-3,4,1,1,1.0
E3_attribution_observability,E2::evaluation-0102-evi::truncation::sev1::late::0::single,evaluation-0102-evi,single,truncation,1,late,full_trace,step-3,step-3,4,1,1,1.0
E3_attribution_observability,E2::evaluation-0061-sha::truncation::sev1::early::0::single,evaluation-0061-sha,single,truncation,1,early,output_only,step-0,step-3,4,4,0,0.25
